feature,icc_A,n_A,n_missing_A_R1,reason
log-sigma-3-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.7231258993567417,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.7229017646188435,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.6226399781092633,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.7477856474319188,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,0.6638588735378823,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.3341090594962966,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,0.36594268758364146,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.709611290092378,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,0.5940420614272901,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_gldm_GrayLevelVariance,0.6675870188137851,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_gldm_HighGrayLevelEmphasis,0.7361645422566887,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis,0.7026775337358601,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.6564598000672369,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_ngtdm_Coarseness,0.5400009150329149,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_ngtdm_Complexity,0.7160987352480679,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_ngtdm_Strength,0.6584724980140935,22,0,ICC_A<=0.75
