feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.93377430512232,22,0.6445621826560433,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_Maximum,0.7472800402174127,22,0.19543449157430065,8,False,0,False
log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.8086183924563694,22,0.7267175147364171,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_Mean,0.7956621869577718,22,0.8942109299722866,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_Median,0.7160439916357876,22,0.8642478461978125,8,False,0,False
log-sigma-3-0-mm-3D_firstorder_Minimum,0.8431360251696509,22,0.805069016508059,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_Range,0.7975919479393296,22,0.48077869937107576,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.8100292538965245,22,0.7729390897572025,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_RootMeanSquared,0.7576594321770926,22,0.8090557922933586,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_Skewness,0.7899481268782994,22,0.9458040643446372,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_TotalEnergy,0.3448356961170039,22,0.14888615487814147,8,False,0,False
log-sigma-3-0-mm-3D_firstorder_Uniformity,0.9372742956604397,22,0.7909442006963194,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_Variance,0.6683240057275199,22,0.6025648523707592,8,False,0,False
log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.7362180629164382,22,0.850181816460664,8,False,0,False
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.3992476494183025,22,0.2261438543406431,8,False,0,False
log-sigma-3-0-mm-3D_glcm_ClusterShade,0.6527155767396727,22,0.8952143718399289,8,False,0,False
log-sigma-3-0-mm-3D_glcm_ClusterTendency,0.6311230939467277,22,0.5271184042348963,8,False,0,False
log-sigma-3-0-mm-3D_glcm_Contrast,0.7265206523362874,22,0.7008746812335332,8,False,0,False
log-sigma-3-0-mm-3D_glcm_Correlation,0.703486362648441,22,0.547306361515237,8,False,0,False
log-sigma-3-0-mm-3D_glcm_DifferenceAverage,0.8378316811772889,22,0.7903316002396468,8,True,0,True
log-sigma-3-0-mm-3D_glcm_DifferenceEntropy,0.8462485574343317,22,0.7793894447293678,8,True,0,True
log-sigma-3-0-mm-3D_glcm_DifferenceVariance,0.7081397850789909,22,0.6614220481724373,8,False,0,False
log-sigma-3-0-mm-3D_glcm_Id,0.8856938342529243,22,0.8422066393717592,8,True,0,True
log-sigma-3-0-mm-3D_glcm_Idm,0.8863454380895102,22,0.8409276132312771,8,True,0,True
log-sigma-3-0-mm-3D_glcm_Idmn,0.9599924383248511,22,0.3634091993944467,8,True,0,True
log-sigma-3-0-mm-3D_glcm_Idn,0.9605964767316264,22,0.5030310390088991,8,True,0,True
log-sigma-3-0-mm-3D_glcm_Imc1,0.647636664867361,22,0.7670838876748557,8,False,0,False
log-sigma-3-0-mm-3D_glcm_Imc2,0.7500196469523178,22,0.5584207278602596,8,True,0,True
log-sigma-3-0-mm-3D_glcm_InverseVariance,0.8320666402371131,22,0.554100945613116,8,True,0,True
log-sigma-3-0-mm-3D_glcm_JointAverage,0.7461438865881044,22,0.8734417156072648,8,False,0,False
log-sigma-3-0-mm-3D_glcm_JointEnergy,0.914033113566522,22,0.8091706139110358,8,True,0,True
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.8685532188404106,22,0.7169053750648681,8,True,0,True
log-sigma-3-0-mm-3D_glcm_MCC,0.6965007308598334,22,0.5707549357599006,8,False,0,False
log-sigma-3-0-mm-3D_glcm_MaximumProbability,0.8905856276216736,22,0.8316019444925229,8,True,0,True
log-sigma-3-0-mm-3D_glcm_SumAverage,0.7461438865881046,22,0.8734417156072648,8,False,0,False
log-sigma-3-0-mm-3D_glcm_SumEntropy,0.8820695038593523,22,0.6743036608203552,8,True,0,True
log-sigma-3-0-mm-3D_glcm_SumSquares,0.6389052054464738,22,0.538190426134752,8,False,0,False
log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,0.7883834035949061,22,0.5367001887550044,8,True,0,True
log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.9427290243926192,22,0.7824530678964453,8,True,0,True
log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance,0.6631187458076659,22,0.5768551048146484,8,False,0,False
log-sigma-3-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.7353287587183197,22,0.8137686016436232,8,False,0,False
log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,0.9322911983885045,22,0.8540206678240997,8,True,0,True
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.8413931973952633,22,0.7714828014017447,8,True,0,True
log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.7724384824118722,22,0.6307716585494868,8,True,0,True
log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.7184998271815812,22,0.5647330947078881,8,False,0,False
log-sigma-3-0-mm-3D_glrlm_RunEntropy,0.7951515229064753,22,0.0146565102839282,8,True,0,True
