feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
wavelet-LHH_firstorder_Minimum,0.6150942398188578,22,-0.0012278740592760167,8,False,0,False
wavelet-LHH_firstorder_Range,0.575583277938528,22,0.2121412154135666,8,False,0,False
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.8007594735782072,22,-0.4839044247027459,8,True,0,True
wavelet-LHH_firstorder_RootMeanSquared,0.7549409000551075,22,-0.40601225423654147,8,True,0,True
wavelet-LHH_firstorder_Skewness,0.31361724400433194,22,0.6852658864322756,8,False,0,False
wavelet-LHH_firstorder_TotalEnergy,0.5207791905831883,22,0.15460151557350862,8,False,0,False
wavelet-LHH_firstorder_Uniformity,0.575195220780577,22,-0.6328326167969853,8,False,0,False
wavelet-LHH_firstorder_Variance,0.7892238378060789,22,-0.3079066979629447,8,True,0,True
wavelet-LHH_glcm_Autocorrelation,0.5448454865091567,22,-0.05758565053594795,8,False,0,False
wavelet-LHH_glcm_ClusterProminence,0.5341491911690306,22,-0.09147517484562089,8,False,0,False
wavelet-LHH_glcm_ClusterShade,0.468725761383237,22,0.3338060410670511,8,False,0,False
wavelet-LHH_glcm_ClusterTendency,0.7869191878323765,22,-0.3187577449113646,8,True,0,True
wavelet-LHH_glcm_Contrast,0.8042865708130018,22,-0.28806257630711063,8,True,0,True
wavelet-LHH_glcm_Correlation,0.5484245938019254,22,0.4449320030230509,8,False,0,False
wavelet-LHH_glcm_DifferenceAverage,0.7925395539799213,22,-0.4325303524229824,8,True,0,True
wavelet-LHH_glcm_DifferenceEntropy,0.6970419083944738,22,-0.5255490369493194,8,False,0,False
wavelet-LHH_glcm_DifferenceVariance,0.7432918170868543,22,-0.25642657176481454,8,False,0,False
wavelet-LHH_glcm_Id,0.6504157832778562,22,-0.5634575672509349,8,False,0,False
wavelet-LHH_glcm_Idm,0.6164683586011808,22,-0.5733969442446935,8,False,0,False
wavelet-LHH_glcm_Idmn,0.6612964815505442,22,0.20183177294855306,8,False,0,False
wavelet-LHH_glcm_Idn,0.6592338481299197,22,0.2216900189681578,8,False,0,False
wavelet-LHH_glcm_Imc1,0.5058590325731659,22,0.6236188598212273,8,False,0,False
wavelet-LHH_glcm_Imc2,0.8078742345598412,22,0.6143524062629503,8,True,0,True
wavelet-LHH_glcm_InverseVariance,0.6747093299042922,22,-0.5409946195906646,8,False,0,False
wavelet-LHH_glcm_JointAverage,0.6142869174766353,22,-0.048555866881257584,8,False,0,False
wavelet-LHH_glcm_JointEnergy,0.4071069434848448,22,-0.6736780229051469,8,False,0,False
wavelet-LHH_glcm_JointEntropy,0.6675490313547685,22,-0.5962169341018314,8,False,0,False
wavelet-LHH_glcm_MCC,0.5045838362354664,22,0.7399377987461768,8,False,0,False
wavelet-LHH_glcm_MaximumProbability,0.40177531478392314,22,-0.6858823312465552,8,False,0,False
wavelet-LHH_glcm_SumAverage,0.6142869174766353,22,-0.04855586688125678,8,False,0,False
wavelet-LHH_glcm_SumEntropy,0.6693760450596469,22,-0.6022147290550101,8,False,0,False
wavelet-LHH_glcm_SumSquares,0.7956067236795747,22,-0.3033533246940976,8,True,0,True
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.788194806804266,22,0.5046462610510438,8,True,0,True
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.5953761495256842,22,-0.6160513082753092,8,False,0,False
wavelet-LHH_glrlm_GrayLevelVariance,0.7828631855930119,22,-0.30357694730663665,8,True,0,True
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.5498613075083891,22,-0.060174672987764834,8,False,0,False
wavelet-LHH_glrlm_LongRunEmphasis,0.3496963706804939,22,-0.5314851928088813,8,False,0,False
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.5378767629372765,22,0.04071826895205231,8,False,0,False
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.3547885620933937,22,0.11365590693318423,8,False,0,False
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.42471534845455383,22,0.19119253917668516,8,False,0,False
wavelet-LHH_glrlm_RunEntropy,0.688156723663363,22,-0.44236132870487155,8,False,0,False
wavelet-LHH_glrlm_RunLengthNonUniformity,0.711202200354292,22,0.5637770436158093,8,False,0,False
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.5961507336294202,22,-0.4172774567402966,8,False,0,False
wavelet-LHH_glrlm_RunPercentage,0.5305974997948548,22,-0.4623778619350831,8,False,0,False
wavelet-LHH_glrlm_RunVariance,0.2773245484934503,22,-0.5609817886971866,8,False,0,False
wavelet-LHH_glrlm_ShortRunEmphasis,0.5452349134147164,22,-0.43935592238291804,8,False,0,False
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.553275957030293,22,-0.07387656400912364,8,False,0,False
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.43515108256857615,22,0.20659135822460203,8,False,0,False
wavelet-LHH_glszm_GrayLevelNonUniformity,0.7433939408339645,22,0.638284736726226,8,False,0,False
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.5299336701113215,22,-0.31211787391047435,8,False,0,False
wavelet-LHH_glszm_GrayLevelVariance,0.6830890254829196,22,-0.22169770300526773,8,False,0,False
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.5500821356602574,22,-0.050391013129789226,8,False,0,False
wavelet-LHH_glszm_LargeAreaEmphasis,0.35375814228395297,22,0.3273005869437013,8,False,0,False
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.8955746736434684,22,0.4017695514382164,8,True,0,True
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.04982816828612103,22,0.48365919287540277,8,False,0,False
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.36207477511661496,22,0.3214960005736002,8,False,0,False
wavelet-LHH_glszm_SizeZoneNonUniformity,0.6569212626019479,22,0.4598495014025101,8,False,0,False
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.42032350342059843,22,0.17965979152629769,8,False,0,False
wavelet-LHH_glszm_SmallAreaEmphasis,0.34637257207809663,22,0.1484826285853222,8,False,0,False
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.5558521907480596,22,-0.03189700610073315,8,False,0,False
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.36721397391411464,22,0.395033835088294,8,False,0,False
wavelet-LHH_glszm_ZoneEntropy,0.5915646617232426,22,-0.20274113778975758,8,False,0,False
wavelet-LHH_glszm_ZonePercentage,0.8021909998959378,22,-0.333802917452558,8,True,0,True
wavelet-LHH_glszm_ZoneVariance,0.35423835563835543,22,0.3291333329118289,8,False,0,False
wavelet-LHH_gldm_DependenceEntropy,0.5723297508360482,22,-0.1671450642576133,8,False,0,False
wavelet-LHH_gldm_DependenceNonUniformity,0.6777584290298458,22,0.43253685127290187,8,False,0,False
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.8025842376541054,22,-0.4051449869160035,8,True,0,True
wavelet-LHH_gldm_DependenceVariance,0.32694848404761834,22,-0.45524761186981627,8,False,0,False
wavelet-LHH_gldm_GrayLevelNonUniformity,0.7703345461318731,22,0.4810041691734693,8,True,0,True
