feature,stage,reason
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,correlation,|r|=0.981 与 log-sigma-1-0-mm-3D_glcm_Imc1
log-sigma-1-0-mm-3D_glrlm_RunPercentage,correlation,|r|=0.980 与 log-sigma-1-0-mm-3D_glcm_Imc1
log-sigma-1-0-mm-3D_glrlm_RunVariance,correlation,|r|=0.971 与 log-sigma-1-0-mm-3D_glcm_Imc1
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,correlation,|r|=0.980 与 log-sigma-1-0-mm-3D_glcm_Imc1
log-sigma-1-0-mm-3D_glszm_ZonePercentage,correlation,|r|=0.972 与 log-sigma-1-0-mm-3D_glcm_Idm
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,correlation,|r|=0.950 与 log-sigma-1-0-mm-3D_glcm_Idm
log-sigma-1-0-mm-3D_gldm_DependenceVariance,correlation,|r|=0.993 与 log-sigma-1-0-mm-3D_glszm_ZoneVariance
log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,correlation,|r|=0.999 与 log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,correlation,|r|=0.997 与 log-sigma-1-0-mm-3D_glszm_ZoneVariance
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,correlation,|r|=0.968 与 log-sigma-1-0-mm-3D_glcm_Idm
log-sigma-2-0-mm-3D_shape_LeastAxisLength,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_shape_LeastAxisLength
log-sigma-2-0-mm-3D_shape_MajorAxisLength,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_shape_MajorAxisLength
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterColumn,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_firstorder_10Percentile
log-sigma-2-0-mm-3D_firstorder_10Percentile,correlation,|r|=0.961 与 log-sigma-1-0-mm-3D_glcm_Id
log-sigma-2-0-mm-3D_firstorder_Entropy,correlation,|r|=0.924 与 log-sigma-1-0-mm-3D_glcm_Idm
log-sigma-2-0-mm-3D_glcm_DifferenceAverage,correlation,|r|=0.934 与 log-sigma-2-0-mm-3D_glcm_ClusterShade
log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,correlation,|r|=0.956 与 log-sigma-1-0-mm-3D_glcm_Idm
log-sigma-2-0-mm-3D_glcm_Id,correlation,|r|=0.956 与 log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity
log-sigma-2-0-mm-3D_glcm_Idm,correlation,|r|=0.956 与 log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation
log-sigma-2-0-mm-3D_glcm_InverseVariance,correlation,|r|=0.951 与 log-sigma-1-0-mm-3D_glcm_Idm
log-sigma-2-0-mm-3D_glcm_JointEntropy,correlation,|r|=0.929 与 log-sigma-1-0-mm-3D_glcm_Idm
log-sigma-2-0-mm-3D_glcm_SumEntropy,correlation,|r|=0.908 与 log-sigma-1-0-mm-3D_glcm_Idm
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,correlation,|r|=0.996 与 log-sigma-2-0-mm-3D_glcm_Idn
log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,correlation,|r|=0.921 与 log-sigma-2-0-mm-3D_glcm_JointEnergy
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,correlation,|r|=0.953 与 log-sigma-1-0-mm-3D_glszm_ZoneVariance
log-sigma-2-0-mm-3D_glrlm_RunPercentage,correlation,|r|=0.955 与 log-sigma-2-0-mm-3D_firstorder_Kurtosis
log-sigma-2-0-mm-3D_glrlm_RunVariance,correlation,|r|=0.911 与 log-sigma-2-0-mm-3D_glcm_JointEnergy
log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,correlation,|r|=0.951 与 log-sigma-2-0-mm-3D_firstorder_Kurtosis
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,correlation,|r|=0.993 与 log-sigma-2-0-mm-3D_firstorder_Uniformity
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,correlation,|r|=0.959 与 log-sigma-2-0-mm-3D_firstorder_Uniformity
log-sigma-2-0-mm-3D_glszm_ZonePercentage,correlation,|r|=0.959 与 log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized
log-sigma-2-0-mm-3D_glszm_ZoneVariance,correlation,|r|=0.993 与 log-sigma-2-0-mm-3D_firstorder_Uniformity
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized,correlation,|r|=0.947 与 log-sigma-2-0-mm-3D_glcm_ClusterShade
log-sigma-2-0-mm-3D_gldm_DependenceVariance,correlation,|r|=0.921 与 log-sigma-2-0-mm-3D_glcm_JointEnergy
log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity,correlation,|r|=0.980 与 log-sigma-2-0-mm-3D_glcm_Idn
log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis,correlation,|r|=0.923 与 log-sigma-2-0-mm-3D_glcm_JointEnergy
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,correlation,|r|=0.958 与 log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized
log-sigma-2-0-mm-3D_ngtdm_Busyness,correlation,|r|=0.925 与 log-sigma-2-0-mm-3D_glrlm_RunEntropy
log-sigma-3-0-mm-3D_shape_LeastAxisLength,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_shape_LeastAxisLength
log-sigma-3-0-mm-3D_shape_MajorAxisLength,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_shape_MajorAxisLength
log-sigma-3-0-mm-3D_shape_Maximum2DDiameterColumn,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_firstorder_10Percentile
log-sigma-3-0-mm-3D_firstorder_10Percentile,correlation,|r|=0.947 与 log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis
log-sigma-3-0-mm-3D_firstorder_Entropy,correlation,|r|=0.968 与 log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis
log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation,correlation,|r|=0.943 与 log-sigma-3-0-mm-3D_firstorder_InterquartileRange
log-sigma-3-0-mm-3D_firstorder_Minimum,correlation,|r|=0.911 与 log-sigma-3-0-mm-3D_firstorder_Kurtosis
log-sigma-3-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,correlation,|r|=0.927 与 log-sigma-3-0-mm-3D_firstorder_InterquartileRange
log-sigma-3-0-mm-3D_firstorder_Uniformity,correlation,|r|=0.958 与 log-sigma-3-0-mm-3D_firstorder_RootMeanSquared
log-sigma-3-0-mm-3D_glcm_DifferenceAverage,correlation,|r|=0.916 与 log-sigma-3-0-mm-3D_firstorder_InterquartileRange
