repeat_id,fold,imputation,radiomics_after_filter,model2_nonzero,model3_radiomics_nonzero
12,1,6,105,0,0
12,1,7,105,0,0
12,1,8,105,0,0
12,1,9,105,0,0
12,1,10,105,0,0
12,1,11,105,0,0
12,1,12,105,0,0
12,1,13,105,0,0
12,1,14,105,0,0
12,1,15,105,0,0
12,1,16,105,0,0
12,1,17,105,0,0
12,1,18,105,0,0
12,1,19,105,0,0
12,1,20,105,0,0
12,2,1,106,2,0
12,2,2,106,2,0
12,2,3,106,2,0
12,2,4,106,2,0
12,2,5,106,2,0
12,2,6,106,2,0
12,2,7,106,2,0
12,2,8,106,2,0
12,2,9,106,2,0
12,2,10,106,2,0
12,2,11,106,2,0
12,2,12,106,2,0
12,2,13,106,2,0
12,2,14,106,2,0
12,2,15,106,2,0
12,2,16,106,2,0
12,2,17,106,2,0
12,2,18,106,2,0
12,2,19,106,2,0
12,2,20,106,2,0
12,3,1,105,11,0
12,3,2,105,11,0
12,3,3,105,11,0
12,3,4,105,11,0
12,3,5,105,11,0
12,3,6,105,11,0
12,3,7,105,11,0
12,3,8,105,11,0
