影像号,读者,split,filter,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-FD56119EA7,R1,B,wavelet-LLH,1634,0,0,0.0,0.0,-0.8863016963005066,1.0919134616851807
IMG-FD56119EA7,R1,B,wavelet-LHL,1634,0,0,0.0,0.0,-0.753760576248169,1.026039481163025
IMG-FD56119EA7,R1,B,wavelet-LHH,1634,0,0,0.0,0.0,-0.6526439189910889,0.46391481161117554
IMG-FD56119EA7,R1,B,wavelet-HLL,1634,0,0,0.0,0.0,-1.6499961614608765,1.1058886051177979
IMG-FD56119EA7,R1,B,wavelet-HLH,1634,0,0,0.0,0.0,-0.525158703327179,0.3640831410884857
IMG-FD56119EA7,R1,B,wavelet-HHL,1634,0,0,0.0,0.0,-0.6061366200447083,0.630138099193573
IMG-FD56119EA7,R1,B,wavelet-HHH,1634,0,0,0.0,0.0,-0.3170534372329712,0.36636191606521606
IMG-FD56119EA7,R1,B,wavelet-LLL,1634,0,0,0.0,0.0,3.8404133319854736,9.85473918914795
IMG-FD56119EA7,R1,B,log-sigma-1-0-mm-3D,1634,0,0,0.0,0.0,-0.44675567746162415,0.6955068111419678
IMG-FD56119EA7,R1,B,log-sigma-2-0-mm-3D,1634,0,0,0.0,0.0,-0.5858995914459229,0.6970030069351196
IMG-FD56119EA7,R1,B,log-sigma-3-0-mm-3D,1634,0,0,0.0,0.0,-0.5882818698883057,0.5227634310722351
IMG-05082286D9,R1,B,wavelet-LLH,32487,0,0,0.0,0.0,-2.059767484664917,1.9253114461898804
IMG-05082286D9,R1,B,wavelet-LHL,32487,0,0,0.0,0.0,-1.9456603527069092,3.3588483333587646
IMG-05082286D9,R1,B,wavelet-LHH,32487,0,0,0.0,0.0,-1.0713461637496948,1.0807983875274658
IMG-05082286D9,R1,B,wavelet-HLL,32487,0,0,0.0,0.0,-1.9301820993423462,2.7402682304382324
IMG-05082286D9,R1,B,wavelet-HLH,32487,0,0,0.0,0.0,-0.8061100244522095,0.9321264028549194
IMG-05082286D9,R1,B,wavelet-HHL,32487,0,0,0.0,0.0,-1.672023892402649,1.459973692893982
IMG-05082286D9,R1,B,wavelet-HHH,32487,0,0,0.0,0.0,-0.739536702632904,0.6564368605613708
IMG-05082286D9,R1,B,wavelet-LLL,32487,0,0,0.0,0.0,3.97812819480896,14.792474746704102
IMG-05082286D9,R1,B,log-sigma-1-0-mm-3D,32487,0,0,0.0,0.0,-0.9475100040435791,1.0482189655303955
IMG-05082286D9,R1,B,log-sigma-2-0-mm-3D,32487,0,0,0.0,0.0,-1.0597617626190186,1.1881611347198486
IMG-05082286D9,R1,B,log-sigma-3-0-mm-3D,32487,0,0,0.0,0.0,-0.9832210540771484,1.1052935123443604
IMG-2586B3625A,R1,A,wavelet-LLH,5741,0,0,0.0,0.0,-4.519163608551025,2.976680278778076
IMG-2586B3625A,R1,A,wavelet-LHL,5741,0,0,0.0,0.0,-4.497604846954346,2.3706462383270264
IMG-2586B3625A,R1,A,wavelet-LHH,5741,0,0,0.0,0.0,-1.9006907939910889,2.181036949157715
IMG-2586B3625A,R1,A,wavelet-HLL,5741,0,0,0.0,0.0,-8.70361042022705,4.419474124908447
IMG-2586B3625A,R1,A,wavelet-HLH,5741,0,0,0.0,0.0,-2.50986385345459,3.1606192588806152
IMG-2586B3625A,R1,A,wavelet-HHL,5741,0,0,0.0,0.0,-3.7427332401275635,3.5118744373321533
IMG-2586B3625A,R1,A,wavelet-HHH,5741,0,1,0.0,0.00017418568193694478,-2.1157913208007812,2.430630922317505
IMG-2586B3625A,R1,A,wavelet-LLL,5741,0,0,0.0,0.0,3.592475414276123,19.811214447021484
IMG-2586B3625A,R1,A,log-sigma-1-0-mm-3D,5741,0,0,0.0,0.0,-1.36812162399292,1.2758164405822754
IMG-2586B3625A,R1,A,log-sigma-2-0-mm-3D,5741,0,0,0.0,0.0,-2.1984167098999023,0.9485048055648804
IMG-2586B3625A,R1,A,log-sigma-3-0-mm-3D,5741,0,0,0.0,0.0,-2.019231081008911,0.9204688668251038
IMG-9E2C4ABE0B,R1,A,wavelet-LLH,8856,0,0,0.0,0.0,-2.6788501739501953,1.6052628755569458
IMG-9E2C4ABE0B,R1,A,wavelet-LHL,8856,0,0,0.0,0.0,-2.266529083251953,2.490234851837158
IMG-9E2C4ABE0B,R1,A,wavelet-LHH,8856,0,0,0.0,0.0,-1.3711729049682617,1.4737894535064697
IMG-9E2C4ABE0B,R1,A,wavelet-HLL,8856,0,0,0.0,0.0,-3.368947744369507,2.2336032390594482
IMG-9E2C4ABE0B,R1,A,wavelet-HLH,8856,0,0,0.0,0.0,-1.115877628326416,1.0470646619796753
IMG-9E2C4ABE0B,R1,A,wavelet-HHL,8856,0,0,0.0,0.0,-1.5133540630340576,2.157058000564575
IMG-9E2C4ABE0B,R1,A,wavelet-HHH,8856,0,0,0.0,0.0,-0.9490864872932434,1.2457237243652344
