feature,icc_before,n_pairs_x,icc_after,n_pairs_y,norm
original_glcm_ClusterShade,0.5581798086324463,22,0.5471986291537624,22,zscore
original_glcm_ClusterTendency,0.6782357890987106,22,0.6760560703825635,22,zscore
original_glcm_Contrast,0.8848290079155682,22,0.8816694150101332,22,zscore
original_glcm_Correlation,0.8792974450398686,22,0.8773722043520821,22,zscore
original_glcm_DifferenceAverage,0.8343332530798137,22,0.8303677587995514,22,zscore
original_glcm_DifferenceEntropy,0.8577651624604475,22,0.8551268096332356,22,zscore
original_glcm_DifferenceVariance,0.8581500662773324,22,0.8560717909073836,22,zscore
original_glcm_Id,0.7707580536950412,22,0.7671245637232191,22,zscore
original_glcm_Idm,0.7613062453571589,22,0.7572665669912451,22,zscore
original_glcm_Idmn,0.642754893966144,22,0.6250869096591419,22,zscore
original_glcm_Idn,0.609389706705317,22,0.5991006633944,22,zscore
original_glcm_Imc1,0.8003240042678823,22,0.7993305161135593,22,zscore
original_glcm_Imc2,0.8589305864793705,22,0.8576910643427793,22,zscore
original_glcm_InverseVariance,0.7679939521227708,22,0.7587992291590564,22,zscore
original_glcm_JointAverage,0.5553709224679926,22,0.5110342940254015,22,zscore
original_glcm_JointEnergy,0.64302076433501,22,0.623602912443719,22,zscore
original_glcm_JointEntropy,0.6550314064092598,22,0.6398707335299126,22,zscore
original_glcm_MCC,0.8127534064977772,22,0.8210242158553182,22,zscore
original_glcm_MaximumProbability,0.6877456281811825,22,0.7036582491353224,22,zscore
original_glcm_SumAverage,0.5553709224679925,22,0.5110342940254009,22,zscore
original_glcm_SumEntropy,0.6569813863699796,22,0.6537675141820869,22,zscore
original_glcm_SumSquares,0.2975908557320915,22,0.29794731882643194,22,zscore
original_glrlm_GrayLevelNonUniformity,0.739008347632435,22,0.7382567834109347,22,zscore
original_glrlm_GrayLevelNonUniformityNormalized,0.6055793010000774,22,0.5841537102395328,22,zscore
original_glrlm_GrayLevelVariance,0.5766830379607707,22,0.5696581294659283,22,zscore
original_glrlm_HighGrayLevelRunEmphasis,0.5750239686022891,22,0.5454019692828869,22,zscore
original_glrlm_LongRunEmphasis,0.6318327545772766,22,0.6288528795914301,22,zscore
original_glrlm_LongRunHighGrayLevelEmphasis,0.620321204265734,22,0.5887162552020703,22,zscore
original_glrlm_LongRunLowGrayLevelEmphasis,0.5538375204653506,22,0.45524599828853096,22,zscore
original_glrlm_LowGrayLevelRunEmphasis,0.5817451439681031,22,0.47907497974532853,22,zscore
original_glrlm_RunEntropy,0.6731761346935087,22,0.6749363443830784,22,zscore
original_glrlm_RunLengthNonUniformity,0.7537364888010898,22,0.7529110468473749,22,zscore
original_glrlm_RunLengthNonUniformityNormalized,0.6880741976427412,22,0.6842362243572493,22,zscore
original_glrlm_RunPercentage,0.6752672407299481,22,0.6719080555180176,22,zscore
original_glrlm_RunVariance,0.5834985645438294,22,0.5811603871321913,22,zscore
original_glrlm_ShortRunEmphasis,0.6865029227776515,22,0.682734511316421,22,zscore
original_glrlm_ShortRunHighGrayLevelEmphasis,0.5664423672316956,22,0.5384601822563894,22,zscore
original_glrlm_ShortRunLowGrayLevelEmphasis,0.5873515146079333,22,0.4848714033386014,22,zscore
original_glszm_GrayLevelNonUniformity,0.795021498807144,22,0.795125251361361,22,zscore
original_glszm_GrayLevelNonUniformityNormalized,0.7481248504196869,22,0.7448109410557955,22,zscore
original_glszm_GrayLevelVariance,0.606560462650078,22,0.6020117765181415,22,zscore
original_glszm_HighGrayLevelZoneEmphasis,0.6179705107170576,22,0.6023573398739673,22,zscore
original_glszm_LargeAreaEmphasis,0.6717544595136744,22,0.6707085555212904,22,zscore
original_glszm_LargeAreaHighGrayLevelEmphasis,0.8674704466472576,22,0.8662939914183218,22,zscore
original_glszm_LargeAreaLowGrayLevelEmphasis,0.3912424843572748,22,0.3897997397495752,22,zscore
original_glszm_LowGrayLevelZoneEmphasis,0.5840302427969191,22,0.5159898861940376,22,zscore
original_glszm_SizeZoneNonUniformity,0.8141635442821492,22,0.8140865066740273,22,zscore
original_glszm_SizeZoneNonUniformityNormalized,0.8097574790846431,22,0.8292000295045147,22,zscore
original_glszm_SmallAreaEmphasis,0.8110438187283511,22,0.8330445284457533,22,zscore
original_glszm_SmallAreaHighGrayLevelEmphasis,0.6464853592821048,22,0.6338924998602359,22,zscore
original_glszm_SmallAreaLowGrayLevelEmphasis,0.5214090321253877,22,0.44634622092250814,22,zscore
original_glszm_ZoneEntropy,0.662444061124408,22,0.6684264365703906,22,zscore
original_glszm_ZonePercentage,0.7086975505027389,22,0.7022448727885037,22,zscore
original_glszm_ZoneVariance,0.6723245058995312,22,0.6712943798983108,22,zscore
original_gldm_DependenceEntropy,0.7284528311493037,22,0.7295910757054436,22,zscore
original_gldm_DependenceNonUniformity,0.7849648732383904,22,0.7837579932073545,22,zscore
original_gldm_DependenceNonUniformityNormalized,0.6064045824077932,22,0.6038882422929575,22,zscore
original_gldm_DependenceVariance,0.612693408126516,22,0.6109987872380278,22,zscore
original_gldm_GrayLevelNonUniformity,0.7309007909712372,22,0.730204480938326,22,zscore
original_gldm_GrayLevelVariance,0.06124123583897739,22,0.15383574794121246,22,zscore
original_gldm_HighGrayLevelEmphasis,0.5748892900299397,22,0.5444733533092398,22,zscore
original_gldm_LargeDependenceEmphasis,0.6603622614462277,22,0.6575421720204694,22,zscore
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.7616849753294084,22,0.7464593027798694,22,zscore
