feature,stage,reason
wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.628 ≤ 0.75
wavelet-HLH_glszm_LargeAreaEmphasis,icc,ICC_A=0.249 ≤ 0.75
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,icc,ICC_A=0.162 ≤ 0.75
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.351 ≤ 0.75
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.593 ≤ 0.75
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.637 ≤ 0.75
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,icc,ICC_A=0.557 ≤ 0.75
wavelet-HLH_glszm_ZoneEntropy,icc,ICC_A=0.656 ≤ 0.75
wavelet-HLH_glszm_ZoneVariance,icc,ICC_A=0.248 ≤ 0.75
wavelet-HLH_gldm_DependenceEntropy,icc,ICC_A=0.555 ≤ 0.75
wavelet-HLH_gldm_GrayLevelNonUniformity,icc,ICC_A=0.624 ≤ 0.75
wavelet-HLH_gldm_HighGrayLevelEmphasis,icc,ICC_A=0.627 ≤ 0.75
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,icc,ICC_A=0.436 ≤ 0.75
wavelet-HLH_gldm_LowGrayLevelEmphasis,icc,ICC_A=0.610 ≤ 0.75
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.690 ≤ 0.75
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,icc,ICC_A=0.396 ≤ 0.75
wavelet-HLH_ngtdm_Coarseness,icc,ICC_A=0.688 ≤ 0.75
wavelet-HLH_ngtdm_Complexity,icc,ICC_A=0.738 ≤ 0.75
wavelet-HLH_ngtdm_Contrast,icc,ICC_A=0.684 ≤ 0.75
wavelet-HHL_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
wavelet-HHL_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
wavelet-HHL_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
wavelet-HHL_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
wavelet-HHL_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
wavelet-HHL_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
wavelet-HHL_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
wavelet-HHL_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
wavelet-HHL_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
wavelet-HHL_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
wavelet-HHL_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
